thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp_2.started,welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,0,50,down,0,1.570086599997012,None,0,50,0,50,0,82.69064849999995,,,,,,,,,82.67553580000094,82.69064849999995,82.69064849999995,83.68989790000342,84.27392610000243,down,0,1.570086599997012,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
51,0,51,down,0,1.4615876999960165,None,0,51,0,51,0,84.28942120000283,,,,,,,,,84.27435240000341,84.28942120000283,84.28942120000283,85.28855230000045,85.75581100000272,down,0,1.4615876999960165,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
52,0,52,up,0,1.8812701999995625,None,-3,52,0,52,0,85.77137230000517,,,,,,,,,85.75613680000242,85.77137230000517,85.77137230000517,86.77057440000499,87.65454210000462,up,0,1.8812701999995625,None,-3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
53,0,53,up,0,1.5588830999986385,None,1,53,0,53,0,87.66970950000541,,,,,,,,,87.65491870000551,87.66970950000541,87.66970950000541,88.66891160000523,89.2366467000029,up,0,1.5588830999986385,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
54,0,54,down,1,1.5261518000042997,None,4,54,0,54,0,89.25171090000367,,,,,,,,,89.23723330000212,89.25171090000367,89.25171090000367,90.25083760000416,90.78577240000595,down,1,1.5261518000042997,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
55,0,55,down,0,1.6751785000014934,None,0,55,0,55,0,90.80034739999974,,,,,,,,,90.78621030000068,90.80034739999974,90.80034739999974,91.79956660000607,92.48354930000642,down,0,1.6751785000014934,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
56,0,56,down,1,1.5623261000000639,None,-4,56,0,56,0,92.49876510000468,,,,,,,,,92.48412000000098,92.49876510000468,92.49876510000468,93.49821270000393,94.06555120000121,down,1,1.5623261000000639,None,-4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
57,0,57,up,0,1.6726523999968776,None,1,57,0,57,0,94.08071030000428,,,,,,,,,94.06604750000406,94.08071030000428,94.08071030000428,95.08017749999999,95.76490200000262,up,0,1.6726523999968776,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
58,0,58,down,1,1.741109000002325,None,-4,58,0,58,0,95.7793701000046,,,,,,,,,95.76536310000665,95.7793701000046,95.7793701000046,96.79512740000064,97.52907270000287,down,1,1.741109000002325,None,-4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
59,0,59,down,1,1.5000427999984822,None,1,59,0,59,0,97.54436330000317,,,,,,,,,97.52948800000013,97.54436330000317,97.54436330000317,98.54376780000166,99.06105820000084,down,1,1.5000427999984822,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
60,0,60,up,1,2.188407699999516,None,0,60,0,60,0,99.07643790000293,,,,,,,,,99.06136740000511,99.07643790000293,99.07643790000293,100.07563590000063,101.27591240000038,up,1,2.188407699999516,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
61,0,61,up,0,1.9081399999995483,None,1,61,0,61,0,101.29119410000567,,,,,,,,,101.27630390000559,101.29119410000567,101.29119410000567,102.29035700000532,103.20757280000544,up,0,1.9081399999995483,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
62,0,62,down,1,1.512145699998655,None,2,62,0,62,0,103.22274440000183,,,,,,,,,103.20796630000405,103.22274440000183,103.22274440000183,104.22199580000597,104.73934980000195,down,1,1.512145699998655,None,2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
63,0,63,down,1,1.5493048999996972,None,4,63,0,63,0,104.75483080000413,,,,,,,,,104.73975600000267,104.75483080000413,104.75483080000413,105.75408760000573,106.32130310000503,down,1,1.5493048999996972,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
64,0,64,up,1,1.6082878000015626,None,0,64,0,64,0,106.33678599999985,,,,,,,,,106.32163650000439,106.33678599999985,106.33678599999985,107.33595280000009,107.9535318000053,up,1,1.6082878000015626,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
65,0,65,down,1,1.5366307000003872,None,-3,65,0,65,0,107.96872100000473,,,,,,,,,107.95393250000052,107.96872100000473,107.96872100000473,108.96810100000584,109.51882100000512,down,1,1.5366307000003872,None,-3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
66,0,66,up,1,1.6568105999976979,None,0,66,0,66,0,109.53402190000634,,,,,,,,,109.51920560000144,109.53402190000634,109.53402190000634,110.5331376000031,111.2004298000029,up,1,1.6568105999976979,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
67,0,67,down,1,2.2711331000027712,None,-2,67,0,67,0,111.21594060000643,,,,,,,,,111.20078410000133,111.21594060000643,111.21594060000643,112.21496650000336,113.49845160000405,down,1,2.2711331000027712,None,-2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
68,0,68,up,0,1.7737991000030888,None,1,68,0,68,0,113.51395270000648,,,,,,,,,113.49885000000359,113.51395270000648,113.51395270000648,114.51320710000437,115.29686760000186,up,0,1.7737991000030888,None,1,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
